tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt7746366	tvSeries	WWE Mixed Match Challenge	WWE Mixed Match Challenge	0	2018	2018	\N	Sport
tt12398092	tvSeries	Kalathu Veedu	Kalathu Veedu	0	2015	2016	22	Drama
tt9648124	tvSeries	L'actu des stars	L'actu des stars	0	2008	2009	\N	Talk-Show
tt10708162	tvSeries	Al Plateau	Al Plateau	0	2016	2017	\N	Comedy
tt27119636	tvSeries	Animal Takedowns	Animal Takedowns	0	2013	2014	\N	\N
tt3593476	tvSeries	Wiziwik	Wiziwik	0	2001	2002	\N	Family
tt13326224	tvSeries	Red Clay Rally	Red Clay Rally	0	2017	2017	\N	Documentary
tt15790126	tvMiniSeries	Dulhan	Dulhan	0	2021	2021	20	Comedy
tt1321865	tvMiniSeries	Carlos	Carlos	0	2010	2010	334	Biography,Crime,Drama
tt1502718	tvSeries	Clube Amigos Disney	Clube Amigos Disney	0	1986	1989	40	Family
tt29579963	tvSeries	NHL Live	NHL Live	0	2010	2015	60	Sport
tt8548166	tvSeries	Venga a bailar	Venga a bailar	0	1982	1984	\N	Musical
tt7701706	tvMiniSeries	Kakuho no onna: Kanagawa kenkei tokumei sousa	Kakuho no onna: Kanagawa kenkei tokumei sousa	0	2018	2019	\N	Mystery
tt24193324	tvSeries	Irresistible Offer: Season 2	Irresistible Offer: Season 2	0	2020	2021	180	Reality-TV
tt10150352	tvSeries	Salma w Sari	Salma w Sari	0	2019	2019	\N	Drama
tt12718484	tvSeries	Chasing the Crown: Dreamers to Streamers	Chasing the Crown: Dreamers to Streamers	0	2020	2020	\N	Game-Show
tt9475456	tvMiniSeries	Los Más Pro	Los Más Pro	0	2018	2018	\N	Reality-TV
tt3013714	tvSeries	Passa ou Repassa	Passa ou Repassa	0	1987	2000	\N	Game-Show
tt5580550	tvSeries	Les Bons Conseils de Célestin	Les Bons Conseils de Célestin	0	1996	2004	\N	Animation
tt7336448	tvSeries	Granada Upfront	Granada Upfront	0	1989	1997	\N	Talk-Show
tt8831386	tvSeries	Sechs mal drei	Sechs mal drei	0	1963	1963	25	Game-Show
tt5282000	tvSeries	The George Mitchell Glee Club	The George Mitchell Glee Club	0	1957	1960	30	Music
tt14150058	tvSeries	Police 24/7	Police 24/7	0	2013	2016	30	Reality-TV
